ID,SMILES
CHEMBL4644788,CCSc1ccc(CSc2cccc(C(=O)Nc3ccc(C#N)cc3)c2)cc1
CHEMBL4643733,O=C(On1nnc2ccccc21)c1c[nH]c2ccccc12
CHEMBL4643590,CSCC[C@@H]1NC(=O)[C@@H](NC(=O)[C@H](CCCCNC(C)=S)NC(=O)[C@@H]2Cc3ccc(cc3)OCCCC(=O)N[C@@H](Cc3c[nH]cn3)C(=O)N2)Cc2ccc(cc2)OCCCCCNC1=O
CHEMBL4642867,CSCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCCNC(C)=S)NC(=O)[C@@H]1Cc2ccc(cc2)OCCCCCCCCCCC(=O)N[C@@H](Cc2c[nH]cn2)C(=O)N1)C(N)=O
CHEMBL4642085,CSCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCCNC(C)=S)NC(=O)[C@@H]1Cc2ccc(cc2)OCCCC(=O)N[C@@H](Cc2c[nH]cn2)C(=O)N1)C(N)=O
CHEMBL4639743,O=C1N/C(=C\c2ccc(O)c(Cl)c2)C(=O)N1Cc1ccc(F)cc1
CHEMBL4638983,CCCCCCCCCCCCCC(=S)NCCCCC(NC(=O)OCc1ccccc1)C(=O)Nc1ccccc1
CHEMBL4638944,NC(=O)c1ccccc1Nc1cccc(-c2cn(Cc3ccccc3)nn2)c1
CHEMBL4638076,O=C(On1nnc2ccccc21)c1ccc[nH]1
CHEMBL4636862,O=C(O)CCNC(=S)NCCCC[C@H](NS(=O)(=O)c1cccc(F)c1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NC1CCC1
CHEMBL4636618,CC(=S)NCCCC[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](N)CCCCN)[C@@H](C)O)C(=O)N[C@@H](CO)C(=O)N[C@H](C(=O)NCC(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C)C(=O)O)[C@@H](C)O
CHEMBL4635807,CSCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCCNC(C)=S)NC(=O)[C@@H]1Cc2ccc(cc2)OCCCCCCCC(=O)N[C@@H](Cc2c[nH]cn2)C(=O)N1)C(N)=O
CHEMBL4633871,N#C/C(=C\c1coc(-c2cc(Cl)ccc2Cl)c1)C(=O)Nc1cccc2ncccc12
CHEMBL4632578,Nc1cc(C(=O)Nc2cccc(C(=O)Nc3ccc(S(=O)(=O)O)c4cc(S(=O)(=O)O)cc(S(=O)(=O)O)c34)c2)cc(C(=O)Nc2cccc(C(=O)Nc3ccc(S(=O)(=O)O)c4cc(S(=O)(=O)O)cc(S(=O)(=O)O)c34)c2)c1.[Na].[Na].[Na].[Na].[Na].[Na]
CHEMBL4632398,O=C1N/C(=C\c2ccc(N3CCCC3)cc2)C(=O)N1Cc1ccc(Cl)cc1
CHEMBL463165,CN1c2ccccc2C(=O)N2CCc3c([nH]c4ccccc34)[C@H]21
CHEMBL4592928,Cc1cc(C)nc(SCC(=O)Nc2ccc(Sc3cccc(C(F)(F)F)c3)cc2)n1
CHEMBL4590449,N#C/C(=C\c1ccc(-c2ccc(Cl)cc2Cl)o1)C(=O)Nc1cccc2ncccc12
CHEMBL4589851,Cc1cc(C)nc(SCC(=O)Nc2cccc(Nc3ccccc3C(N)=O)c2)n1
CHEMBL4587053,Cc1cc(C)nc(SCC(=O)Nc2ccc(Sc3ccsc3)cc2)n1
CHEMBL4583887,Cc1cc(C)nc(SCC(=O)Nc2cccc(Sc3ccccc3)c2)n1
CHEMBL4580074,CN(C)CCNC(=O)c1ccccc1Nc1cccc(OCCc2ccccc2)c1
CHEMBL4577801,COC(=O)[C@H](Cc1cn(C(c2ccccc2)(c2ccccc2)c2ccccc2)cn1)NC(=O)c1ccccn1
CHEMBL4574578,CCCCCCCCCCNC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)Nc1cccc(O)c1
CHEMBL4574491,CC[C@H](C)[C@H](NC(=O)[C@@H](NC(=O)[C@H](CCCCNC(=O)c1ccc(/N=N/c2ccc(N(C)C)cc2)cc1)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CO)NC(C)=O)[C@@H](C)O)C(N)=O
CHEMBL4571708,COc1ccc(Oc2ccc(C(C(C)C)N(C)c3ncc4c(N)nc(N)nc4n3)cc2)cc1
CHEMBL4567519,COc1cc(OC)cc(Oc2ccc(C(c3ccccc3)N(C)c3ncc4c(N)nc(N)nc4n3)cc2)c1
CHEMBL4563921,COC(=O)[C@H](Cc1cn(C(c2ccccc2)(c2ccccc2)c2ccccc2)cn1)NCc1cccc(N(C)C)c1
CHEMBL4562248,COC(=O)[C@H](Cc1cn(C(c2ccccc2)(c2ccccc2)c2ccccc2)cn1)NCc1cnc2ccccc2c1
CHEMBL4560543,COc1ccc(COc2ccc(C(C)N(C)c3ncc4c(N)nc(N)nc4n3)cc2)cc1
CHEMBL4557076,CC(c1ccc(Oc2ccc(OCc3ccccc3)cc2)cc1)N(C)c1ncc2c(N)nc(N)nc2n1
CHEMBL4556361,O=C(NO)c1ccccc1Nc1cccc(OCCc2ccccc2)c1
CHEMBL4553811,CC[C@H](C)[C@H](NC(=O)[C@H](CCCCNC(=O)Cc1ccc(/N=N/c2ccccc2)cc1)NC(=O)[C@@H](NC(C)=O)C(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(N)=O
CHEMBL4552464,CCCCCCCNC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)Nc1ccccc1
CHEMBL4551537,CCN(CC)c1ccnc(CN[C@@H](Cc2cn(C(c3ccccc3)(c3ccccc3)c3ccccc3)cn2)C(=O)OC)c1
CHEMBL4551157,CCCCCCNC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)Nc1ccccc1
CHEMBL4547965,O=C(NOC1CCCCO1)c1ccccc1Nc1cccc(OCCc2ccccc2)c1
CHEMBL4542861,COc1cccc(Sc2ccc(NC(=O)CSc3nc(C)cc(C)n3)cc2)c1
CHEMBL453807,CSCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCCNC(C)=S)NC(=O)[C@H](C)NC(=O)[C@@H](N)Cc1cnc[nH]1)C(=O)O
CHEMBL4536622,CCOC(=O)c1ccc2[nH]c(-c3ccc(Cl)cc3)nc2c1
CHEMBL4534699,CCCCNC(=O)c1ccccc1Nc1cccc(OCCc2ccccc2)c1
CHEMBL4529562,CONC(=O)c1ccccc1Nc1cccc(OCCc2ccccc2)c1
CHEMBL4529328,CC[C@H](C)[C@H](NC(C)=O)C(=O)N[C@@H](CCCCNC(=O)Cc1ccc(/N=N/c2ccccc2)cc1)C(=O)N[C@@H](CCCNC(=N)N)C(N)=O
CHEMBL452893,CC[C@H](C)[C@H](NC(=O)[C@@H](NC(=O)[C@H](CCCCNC(C)=S)NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H](N)Cc1cnc[nH]1)[C@@H](C)O)C(=O)O
CHEMBL4527063,COC(=O)[C@H](Cc1cn(C(c2ccccc2)(c2ccccc2)c2ccccc2)cn1)NCc1ccncc1Br
CHEMBL4526249,COc1ccc(Sc2ccc(C(C)N(C)c3ncc4c(N)nc(N)nc4n3)cc2)cc1
CHEMBL4522115,COC(=O)[C@H](Cc1cn(C(c2ccccc2)(c2ccccc2)c2ccccc2)cn1)NCc1ccc2ccccc2n1
CHEMBL4520968,COC(=O)[C@H](Cc1cn(C(c2ccccc2)(c2ccccc2)c2ccccc2)cn1)NCc1ccccc1
CHEMBL4520707,CCOC(=O)c1ccc2[nH]c(-c3ccc(Br)cc3)nc2c1
