,ID,SMILES,Model 1: SIRT2 inhibitory activity,"Probability of Model 1 ""Yes"" class prediction"
131,108715,CC(C)(C)C1CCc2c(sc(NC(=O)c3ccc(Cl)cc3)c2C(N)=O)C1,No,0.4697336965272623
132,108716,CCc1ccccc1/N=C1\S/C(=C\c2cc3c(cc2[N+](=O)[O-])OCO3)C(=O)N1c1ccccc1CC,No,0.49758168438397077
133,108717,O=C(/C=C/c1cccs1)N1CCN(c2ccc([N+](=O)[O-])cc2)CC1,No,0.4841414555545366
134,108718,CC(C)(C)c1ccc(/C=C/C(=O)NCc2ccco2)cc1,No,0.33078708639035415
135,108719,O=C(Nc1cccc2cccnc12)c1ccccc1SCc1ccccc1,Yes,0.5056529410172226
136,108720,COc1ccccc1N1CCN(C(=O)C2CC2)CC1,No,0.351432372691334
137,108721,O=C(NCc1ccccn1)C1CCCO1,No,0.3524443306262336
138,108722,CCCOC(=O)c1c(NC(=O)c2cc(OC)c(OC)c(OC)c2)sc2c1CCC(C)C2,No,0.49998929354793104
139,108723,Cc1onc(-c2ccccc2Cl)c1C(=O)Nc1sc2c(c1C(N)=O)CCC(C(C)(C)C)C2,Yes,0.5298132486655851
140,108724,COc1ccc(Cl)cc1C(=O)Nc1nc(-c2ccc(F)cc2)cs1,No,0.282803220231479
141,108725,CCC(C)(C)C1CCc2c(sc(NC(=O)/C=C/c3ccc4c(c3)OCO4)c2C(N)=O)C1,Yes,0.5346335836765471
142,108726,COC(=O)c1c(NC(=O)c2sc3ccccc3c2Cl)sc(C)c1C,No,0.3110300858648293
143,108727,Cc1ccc2nc(NC(=O)c3cc(-c4ccc(Cl)s4)nc4ccccc34)sc2c1,No,0.3905314984424298
144,108728,CCc1cccc(C)c1NC(=O)C(Sc1ccccc1)c1ccccc1,Yes,0.5084840953869662
145,108729,CCc1ccccc1/N=C1\S/C(=C2\C(=O)Nc3c(C)cc(Br)cc32)C(=O)N1c1ccccc1CC,Yes,0.5720463738116551
146,108730,CC1(C)Cc2c(sc3nc(SCc4ccccc4)n(-c4ccccc4)c(=O)c23)CO1,No,0.4918995077836293
147,108731,COc1ccc(S(=O)(=O)Nc2ncccc2Cl)cc1,No,0.26787031401361283
148,108732,Cc1ccc2c(Cl)c(C(=O)NC3CC3)sc2c1,No,0.35772146249069137
149,108733,CC1(C)Cc2c(sc3[nH]c(=S)[nH]c(=S)c23)CO1,Yes,0.5684942445849338
150,108734,c1cc2c(cc1CNc1nn[nH]n1)OCO2,No,0.2836811401137704
151,108735,O=C(Nc1cccc(Br)c1)c1cnccn1,No,0.4463863019772944
152,108736,CC1CC(C)CN(C(=O)c2nn(C)cc2I)C1,No,0.39761557949982257
153,108737,Cn1cc(I)c(C(=O)Nc2ccc(F)c(Cl)c2)n1,No,0.3853207384460038
154,108738,CC(C)CNC(=O)c1cccc(F)c1,No,0.256421138238045
155,108739,CCc1c(C)sc(NC(=O)/C=C/c2cccc([N+](=O)[O-])c2)c1C#N,No,0.3838574555863472
156,108740,CC(Oc1cccc(Cl)c1)C(=O)Nc1ccccc1,No,0.3113243665857682
157,108741,CCCCSc1nc2sc3c(c2c(=O)n1-c1ccccc1)CC(C)(C)OC3,No,0.4679642069707264
158,108742,COc1cccc(-c2cc(C(=O)Nc3nc(-c4cccc5ccccc45)cs3)c3ccccc3n2)c1,No,0.4337531433055498
159,108743,Cc1cccc(N2CCN(C(=O)c3cc(-c4ccc(Cl)s4)nc4ccccc34)CC2)c1C,No,0.4857369512688754
160,108744,CCCOC(=O)c1c(NC(=O)c2cc(-c3ccc(OC)c(OC)c3)nc3ccccc23)sc2c1CCC(C)C2,Yes,0.5397697357174464
161,108745,Cc1cccc(-c2cc(C(=O)Nc3ccccc3F)c3ccccc3n2)c1,No,0.3989704452413511
162,108746,Cc1cccc(-c2cc(C(=O)Nc3cc(Cl)cc(Cl)c3)c3ccccc3n2)c1,No,0.3032486393409899
163,108747,Cc1cc(C)c(NC(=O)c2ccc(C)c(C)c2)c(C)c1,No,0.17931116564381905
164,108748,O=C(Nc1ccc2ccccc2c1)c1ccc2c(c1)OCO2,No,0.3981261683248365
165,108749,CCCC1CCc2c(sc(NC(=O)/C=C/c3ccccc3)c2C(N)=O)C1,Yes,0.5212682379098376
166,108750,O=C(Nc1ccccc1F)c1cc(-c2ccc(Cl)s2)nc2ccccc12,No,0.4176044716008464
167,108751,Cc1ccc(-c2cc(C(=O)Nc3nc(-c4ccc(Br)cc4)cs3)c3ccccc3n2)o1,No,0.39296662411327166
168,108752,CC(=O)c1cccc(NC(=O)c2cc(-c3ccccc3Cl)nc3ccccc23)c1,No,0.2928164659115219
169,108753,CCCCCCCCNC(=O)c1ccccc1C,No,0.29061960552775945
170,108754,CC1CCN(C(=O)c2cccc3ccccc23)CC1,No,0.37687031965056383
171,108755,CCOC(=O)c1c(NC(=O)c2cc(-c3ccc(Cl)c(Cl)c3)nc3ccccc23)sc2c1CCCC2,No,0.4522181848980821
172,108756,Cc1ccc(C(=O)Nc2nc(-c3cccc4ccccc34)cs2)o1,No,0.3802695837965504
173,108757,COc1ccc(-c2cc(C(=O)NCc3ccc(F)cc3)c3ccccc3n2)cc1OC,No,0.3757659832885096
174,108758,CCCCC(CC)C(=O)Nc1nc(C)cs1,No,0.34387748257731493
175,108759,COc1cccc(NC(=O)c2nn(C)cc2I)c1,No,0.36877142185656153
176,108760,COc1ccc(-c2ccc(C3NC(=O)c4c(sc5c4CCN(C)C5)N3)o2)cc1Cl,No,0.48817911329511554
177,108761,COc1ccc(CNCc2ccccc2OC)c(OC)c1,No,0.17372151437717537
178,108763,CCOc1cc(C2NC(=O)c3c(sc4c3CCN(C)C4)N2)ccc1OC(=O)c1ccccc1,Yes,0.5603208835604757
179,108764,CCc1nc2ccccc2c(NC(=O)CN2CCN(C(c3ccccc3)c3ccccc3)CC2)c1C,No,0.43711160497214274
180,108765,O=S(=O)(Nc1ccc(-c2ccc(NS(=O)(=O)c3ccccc3)cc2)cc1)c1ccccc1,No,0.22630066130120313
181,108766,O=c1c(N=Nc2ccccc2Br)c(-c2ccccc2)[nH]n1-c1ccccc1,No,0.3427855702250344
182,108767,COc1ccc(-c2csc(N3N=C(C)C(=NNc4cc(Cl)ccc4C)C3=O)n2)cc1,No,0.36590332016565125
183,108768,Cc1[nH]n(-c2nc(-c3ccccc3)cs2)c(=O)c1N=Nc1cc(C(F)(F)F)ccc1Cl,No,0.48816429972995445
184,108769,CC1=NN(c2ccc(C)c(C)c2)C(=O)C1=Cc1c(O)n(-c2cccc(C)c2)c(=O)[nH]c1=O,No,0.4212392293837662
185,108770,COc1ccccc1OCCN1C(=S)N=C2C=CC=CC21,Yes,0.5680774557160164
186,108771,COCc1cc(C)nc(OCC(=O)N/N=C/c2cc(Br)cc(I)c2O)c1C#N,No,0.4558305356988033
187,108772,COc1ccc(C(=O)N2C(=S)NC(=O)/C2=C\c2ccc(C)cc2)cc1,Yes,0.5550958372306266
188,108773,CC(=O)Nc1ccc(S(=O)(=O)Nc2cccnc2)cc1,No,0.39194712571283785
189,108774,Cc1ccc2[nH]c(C(C#N)=Cc3cc(I)cc(I)c3OCc3ccccc3)nc2c1,Yes,0.5554287337841581
190,108775,CN1CCc2c(sc3c2C(=O)NC(c2ccc(OCc4ccccc4)cc2)N3)C1,Yes,0.6007210648054209
191,108776,CC(=O)c1ccc(N=Nc2c(-c3ccccc3)[nH]n(-c3ccccc3)c2=O)cc1,No,0.39363601366612977
192,108777,CN1CCc2c(sc3c2C(=O)NC(c2ccc4ccccc4c2)N3)C1,Yes,0.5276023096641528
193,108778,O=C1NC(=O)/C(=N\NC(=O)c2cccs2)C(=O)N1,No,0.37914774377656696
194,108779,COc1ccc([N+](=O)[O-])cc1N=Nc1c(C)[nH]n(-c2nc(-c3ccc(Br)cc3)cs2)c1=O,No,0.4315750551740741
195,108780,CCCCN(CCCC)CN1C(=O)S/C(=C/c2ccc(N(CC)CC)cc2)C1=O,Yes,0.5395609882199353
196,108781,COc1ccc(NS(=O)(=O)c2ccccc2)c(OC)c1,No,0.2781679898535844
